populacao_local_id,localidade_id,populacao_id,populacao_total,populacao_portuguesa,populacao_estrangeira,apatridas
332,333,1,250744,243711,7029,4
333,333,1,250744,243711,7029,4
334,334,1,10915,10279,636,0
335,335,1,32162,31652,510,0
336,336,1,105782,102673,3105,4
337,337,1,19593,19287,306,0
338,338,1,8360,7993,367,0
339,339,1,2517,2448,69,0
340,340,1,5149,4911,238,0
341,341,1,12680,12248,432,0
342,342,1,42168,41079,1089,0
343,343,1,6553,6419,134,0
344,344,1,4865,4722,143,0
