"Quadro 1.2 - População residente por nacionalidade, por local de residência (NUTS I/II/III/Município), Portugal, 2021",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"NUTS I, II, III
Município",População residente ,,,,15 Principais nacionalidades estrangeiras ,,,,,,,,,,,,,,
,Total ,Nacionalidade portuguesa ,Nacionalidade estrangeira,Apátrida ,Brasil,Angola,Cabo Verde,Reino Unido,Ucrânia,França,China,Guiné-Bissau,Índia,Roménia,Itália,Nepal,Espanha,Alemanha,São Tomé e Príncipe
Castelo de Paiva, 15 586, 15 455,  131,  ,  35,  12,  ,  ,  ,  11,  4,  1,  18,  2,  2,  ,  2,  3,  20
Celorico de Basto, 17 643, 17 455,  188,  ,  64,  8,  3,  4,  1,  34,  8,  ,  ,  4,  6,  ,  13,  3,  
Cinfães, 17 730, 17 598,  132,  ,  58,  3,  ,  7,  4,  7,  10,  1,  ,  ,  ,  ,  6,  1,  
Felgueiras, 55 848, 55 363,  485,  ,  216,  28,  3,  9,  12,  33,  17,  4,  4,  3,  2,  2,  10,  9,  
Lousada, 47 364, 46 871,  493,  ,  238,  13,  2,  5,  26,  16,  11,  4,  ,  ,  ,  ,  20,  10,  27
Marco de Canaveses, 49 541, 49 113,  428,  ,  220,  34,  4,  10,  15,  13,  16,  5,  ,  3,  2,  ,  16,  2,  
Paços de Ferreira, 55 595, 55 089,  506,  ,  240,  26,  4,  5,  9,  33,  48,  3,  6,  5,  8,  ,  15,  12,  
Penafiel, 69 629, 69 039,  588,  2,  296,  49,  2,  16,  25,  18,  18,  15,  1,  4,  8,  ,  23,  16,  4
Resende, 10 051, 9 974,  77,  ,  24,  3,  ,  1,  ,  7,  11,  1,  ,  4,  ,  ,  5,  4,  
Douro, 183 875, 181 617, 2 254,  4,  782,  124,  34,  22,  103,  146,  147,  6,  12,  81,  42,  22,  146,  39,  13
Alijó, 10 486, 10 393,  93,  ,  31,  6,  ,  ,  2,  7,  10,  ,  ,  3,  ,  ,  8,  2,  1
