distribuicao_geo_id,localidade_id,nacionalidade_id,populacao_nacional_local,concentracao_relativa,dominio_regional
274,22,7,190,2.86,Baixo
275,22,1,186,2.8,Baixo
276,22,17,17,0.26,Baixo
277,23,4,52,26.53,Alto
278,23,2,10,5.1,Médio
279,23,5,1,0.51,Baixo
280,23,18,3,1.53,Baixo
281,23,8,21,10.71,Alto
282,23,6,19,9.69,Médio
283,23,19,17,8.67,Médio
284,23,10,3,1.53,Baixo
285,23,7,8,4.08,Baixo
286,23,1,5,2.55,Baixo
287,24,4,313,50.89,Alto
288,24,2,23,3.74,Baixo
289,24,5,2,0.33,Baixo
290,24,15,7,1.14,Baixo
291,24,18,16,2.6,Baixo
292,24,8,59,9.59,Médio
293,24,6,42,6.83,Médio
294,24,10,8,1.3,Baixo
295,24,13,10,1.63,Baixo
296,24,7,25,4.07,Baixo
297,24,1,20,3.25,Baixo
298,24,17,2,0.33,Baixo
299,25,4,1270,51.25,Alto
300,25,2,84,3.39,Baixo
301,25,5,40,1.61,Baixo
302,25,15,30,1.21,Baixo
303,25,18,84,3.39,Baixo
304,25,8,157,6.34,Médio
305,25,6,71,2.87,Baixo
306,25,9,29,1.17,Baixo
307,25,19,24,0.97,Baixo
308,25,10,67,2.7,Baixo
309,25,13,46,1.86,Baixo
310,25,7,87,3.51,Baixo
311,25,1,43,1.74,Baixo
312,25,17,4,0.16,Baixo
313,26,4,36,46.15,Alto
314,26,15,4,5.13,Médio
315,26,8,4,5.13,Médio
316,26,6,9,11.54,Alto
317,26,10,3,3.85,Baixo
318,26,7,6,7.69,Médio
319,26,1,9,11.54,Alto
320,27,4,201,47.86,Alto
321,27,2,6,1.43,Baixo
322,27,5,1,0.24,Baixo
323,27,15,3,0.71,Baixo
324,27,18,9,2.14,Baixo
325,27,8,49,11.67,Alto
326,27,6,35,8.33,Médio
327,27,9,2,0.48,Baixo
328,27,10,8,1.9,Baixo
329,27,7,11,2.62,Baixo
330,27,1,15,3.57,Baixo
331,28,4,74,39.36,Alto
332,28,2,7,3.72,Baixo
333,28,15,4,2.13,Baixo
334,28,18,9,4.79,Baixo
335,28,8,15,7.98,Médio
336,28,6,6,3.19,Baixo
337,28,9,1,0.53,Baixo
338,28,19,5,2.66,Baixo
339,28,10,5,2.66,Baixo
340,28,7,2,1.06,Baixo
341,28,1,17,9.04,Médio
342,29,4,1336,54.93,Alto
343,29,2,89,3.66,Baixo
344,29,5,23,0.95,Baixo
