localidade_id,nome_localidade,nivel_administrativo,codigo_regiao
231,Odemira,Município,OUTRO
232,Santiago do Cacém,Município,OUTRO
233,Sines,Município,OUTRO
234,Baixo Alentejo,NUTS I,ALE
235,Aljustrel,Município,OUTRO
236,Almodôvar,Município,OUTRO
237,Alvito,Município,OUTRO
238,Barrancos,Município,OUTRO
239,Beja,Município,OUTRO
240,Castro Verde,Município,OUTRO
241,Cuba,Município,OUTRO
242,Ferreira do Alentejo,NUTS I,ALE
243,Mértola,Município,OUTRO
244,Moura,Município,OUTRO
245,Ourique,Município,OUTRO
246,Serpa,Município,OUTRO
247,Vidigueira,Município,OUTRO
248,Lezíria do Tejo,Município,OUTRO
249,Almeirim,Município,OUTRO
250,Alpiarça,Município,OUTRO
251,Azambuja,Município,OUTRO
252,Benavente,Município,OUTRO
253,Cartaxo,Município,OUTRO
254,Chamusca,Município,OUTRO
255,Coruche,Município,OUTRO
256,Golegã,Município,OUTRO
257,Rio Maior,Município,OUTRO
258,Salvaterra de Magos,Município,OUTRO
259,Santarém,Município,OUTRO
260,Alto Alentejo,NUTS I,ALE
261,Alter do Chão,Município,OUTRO
262,Arronches,Município,OUTRO
263,Avis,Município,OUTRO
264,Campo Maior,Município,OUTRO
265,Castelo de Vide,Município,OUTRO
266,Crato,Município,OUTRO
267,Elvas,Município,OUTRO
268,Fronteira,Município,OUTRO
269,Gavião,Município,OUTRO
270,Marvão,Município,OUTRO
271,Monforte,Município,OUTRO
272,Nisa,Município,OUTRO
273,Ponte de Sor,Município,OUTRO
274,Portalegre,Município,OUTRO
275,Sousel,Município,OUTRO
276,Alentejo Central,NUTS I,ALE
277,Alandroal,Município,OUTRO
278,Arraiolos,Município,OUTRO
279,Borba,Município,OUTRO
280,Estremoz,Município,OUTRO
281,Évora,Município,OUTRO
282,Montemor-o-Novo,Município,OUTRO
283,Mora,Município,OUTRO
284,Mourão,Município,OUTRO
285,Portel,Município,OUTRO
286,Redondo,Município,OUTRO
287,Reguengos de Monsaraz,Município,OUTRO
288,Vendas Novas,Município,OUTRO
289,Viana do Alentejo,NUTS I,ALE
290,Vila Viçosa,Município,OUTRO
291,Algarve,NUTS I,ALG
292,Algarve,NUTS I,ALG
293,Albufeira,Município,OUTRO
294,Alcoutim,Município,OUTRO
295,Aljezur,Município,OUTRO
296,Castro Marim,Município,OUTRO
297,Faro,Município,OUTRO
298,Lagoa,Município,OUTRO
299,Lagos,Município,OUTRO
300,Loulé,Município,OUTRO
301,Monchique,Município,OUTRO
302,Olhão,Município,OUTRO
303,Portimão,Município,OUTRO
304,São Brás de Alportel,Município,OUTRO
305,Silves,Município,OUTRO
306,Tavira,Município,OUTRO
307,Vila do Bispo,Município,OUTRO
308,Vila Real de Santo António,Município,OUTRO
309,Região Autónoma dos Açores,NUTS II,AZ
310,Região Autónoma dos Açores,NUTS II,AZ
311,Região Autónoma dos Açores,NUTS II,AZ
312,Angra do Heroísmo,Município,OUTRO
313,Calheta,Município,OUTRO
314,Corvo,Município,OUTRO
315,Horta,Município,OUTRO
316,Lagoa,Município,OUTRO
317,Lajes das Flores,Município,OUTRO
318,Lajes do Pico,Município,OUTRO
319,Madalena,Município,OUTRO
320,Nordeste,Município,OUTRO
321,Ponta Delgada,Município,OUTRO
322,Povoação,Município,OUTRO
323,Ribeira Grande,Município,OUTRO
324,Santa Cruz da Graciosa,Município,OUTRO
325,Santa Cruz das Flores,Município,OUTRO
326,São Roque do Pico,Município,OUTRO
327,Velas,Município,OUTRO
328,Vila da Praia da Vitória,Município,OUTRO
329,Vila do Porto,Município,OUTRO
330,Vila Franca do Campo,Município,OUTRO
331,Região Autónoma da Madeira,NUTS II,MD
332,Região Autónoma da Madeira,NUTS II,MD
333,Região Autónoma da Madeira,NUTS II,MD
334,Calheta,Município,OUTRO
335,Câmara de Lobos,Município,OUTRO
336,Funchal,Município,OUTRO
337,Machico,Município,OUTRO
338,Ponta do Sol,Município,OUTRO
339,Porto Moniz,Município,OUTRO
340,Porto Santo,Município,OUTRO
341,Ribeira Brava,Município,OUTRO
342,Santa Cruz,Município,OUTRO
343,Santana,Município,OUTRO
344,São Vicente,Município,OUTRO
