Índice;;;Figura 10;Figura 10;Figura 12;Figura 13;Figura 14;Figura 19;Figura 19;Figura 23;Figura 24;Figura 25;Figura 26
Nível territorial;Código territorial;Designação;Repartição da população residente (%);Repartição dos alojamentos familiares clássicos (%);Proporção de alojamentos familiares clássicos vagos (%);Proporção de alojamentos familiares clássicos de residência habitual sobrelotados (%);Proporção de alojamentos familiares clássicos em edifícios clássicos com necessidades de reparação profundas (%);Taxa de atração de população residente proveniente de outro município (%);Taxa de repulsão de população residente proveniente de outro município (%);Índice de polarização do emprego (N.º);Diferença do índice de polarização do emprego (N.º);Taxa de atração de empregados (%);Taxa de repulsão de empregados (%)
;;;2021;2021;2021;2021;2021;2021;2021;2021;2021-2011;2021;2021
Município;0806;Lagoa;0,2;0,4;9,1;15,9;0,8;8,0;7,4;1,0;0,08;42,0;36,2
Município;0807;Lagos;0,3;0,5;10,3;16,4;0,5;6,9;6,7;1,0;-0,02;18,6;14,1
Município;0808;Loulé;0,7;1,1;12,5;19,3;1,0;6,4;6,5;1,0;-0,03;26,9;16,9
Município;0809;Monchique;0,1;0,1;25,3;10,9;2,3;10,0;8,9;0,8;-0,06;21,1;28,6
Município;0810;Olhão;0,4;0,5;12,4;16,3;1,6;6,8;6,4;0,7;-0,03;19,1;37,5
Município;0811;Portimão;0,6;0,8;9,7;17,4;1,1;6,6;6,8;0,9;-0,13;22,2;21,6
Município;0812;São Brás de Alportel;0,1;0,1;8,5;10,5;1,7;8,3;7,0;0,7;-0,07;25,7;42,8
Município;0813;Silves;0,4;0,6;11,8;15,6;1,0;8,6;7,7;0,7;-0,06;24,4;39,0
Município;0814;Tavira;0,3;0,4;10,9;13,1;1,4;7,0;6,8;0,9;-0,04;20,7;22,1
Município;0815;Vila do Bispo;0,1;0,1;14,9;15,9;0,7;5,6;5,0;1,0;-0,13;22,7;16,9
Município;0816;Vila Real de Santo António;0,2;0,4;14,9;17,0;1,6;8,5;8,5;0,9;-0,05;25,5;24,8
Município;0901;Aguiar da Beira;0,1;0,1;21,7;5,4;0,8;9,3;8,1;1,0;-0,05;30,0;23,9
Município;0902;Almeida;0,1;0,1;11,3;6,2;1,1;7,6;6,9;0,9;-0,36;23,9;22,0
Município;0903;Celorico da Beira;0,1;0,1;19,9;7,0;2,3;7,5;7,4;0,9;-0,01;28,0;30,7
Município;0904;Figueira de Castelo Rodrigo;0,1;0,1;18,0;6,8;2,6;7,6;7,8;0,9;-0,03;16,4;18,1
Município;0905;Fornos de Algodres;0,0;0,1;16,0;6,9;1,4;6,9;5,7;0,9;-0,03;24,9;27,5
Município;0906;Gouveia;0,1;0,2;19,9;5,9;0,4;8,0;7,4;0,8;-0,09;21,3;29,2
Município;0907;Guarda;0,4;0,5;11,9;7,9;1,0;5,3;5,3;1,0;-0,06;17,3;15,0
Município;0908;Manteigas;0,0;0,1;9,6;5,7;0,5;7,8;7,5;0,9;-0,02;20,1;21,2
Município;0909;Mêda;0,0;0,1;14,9;6,2;1,3;6,9;6,2;0,9;-0,09;19,2;21,4
Município;0910;Pinhel;0,1;0,1;20,5;5,7;2,9;7,3;7,6;0,9;-0,02;19,6;24,5
Município;0911;Sabugal;0,1;0,3;15,3;5,9;1,0;7,9;5,9;0,9;-0,08;18,7;19,8
Município;0912;Seia;0,2;0,3;16,9;6,5;0,9;6,7;6,2;0,9;-0,02;19,8;21,1
Município;0913;Trancoso;0,1;0,1;19,6;5,9;1,2;8,5;8,3;0,9;-0,14;21,4;25,4
Município;0914;Vila Nova de Foz Côa;0,1;0,1;13,0;6,3;1,8;6,7;6,5;1,0;-0,07;20,8;15,0
Município;1001;Alcobaça;0,5;0,6;14,6;9,3;1,1;7,0;5,8;0,9;-0,05;25,5;27,5
Município;1002;Alvaiázere;0,1;0,1;21,6;5,2;2,7;10,8;9,8;0,8;-0,15;35,3;37,6
Município;1003;Ansião;0,1;0,1;19,7;6,0;0,7;8,1;7,3;0,8;-0,06;33,2;34,5
Município;1004;Batalha;0,2;0,1;14,5;7,1;1,0;8,3;7,7;0,9;-0,07;49,9;45,1
Município;1005;Bombarral;0,1;0,1;19,2;11,0;1,4;9,2;6,3;0,8;-0,10;31,9;37,5
Município;1006;Caldas da Rainha;0,5;0,5;15,1;9,9;1,6;7,1;6,6;0,9;-0,06;29,1;26,5
Município;1007;Castanheira de Pêra;0,0;0,0;17,4;7,6;1,4;9,7;8,8;1,0;-0,03;31,4;25,9
Município;1008;Figueiró dos Vinhos;0,1;0,1;18,3;5,9;1,4;6,9;7,0;0,7;-0,10;25,8;34,8
Município;1009;Leiria;1,2;1,2;11,4;8,8;1,1;5,0;4,8;1,0;-0,07;25,5;20,2
Município;1010;Marinha Grande;0,4;0,4;13,9;8,6;0,5;6,4;5,9;1,0;0,03;34,4;27,8
Município;1011;Nazaré;0,1;0,2;10,4;12,5;0,6;7,7;7,9;0,8;-0,04;29,1;35,2
Município;1012;Óbidos;0,1;0,2;11,3;9,3;1,3;11,0;8,8;0,9;-0,13;47,6;46,1
Município;1013;Pedrógão Grande;0,0;0,1;11,0;7,6;0,7;10,5;9,2;0,9;-0,05;34,8;30,3
Município;1014;Peniche;0,3;0,4;9,5;12,1;2,2;6,3;6,2;0,9;-0,07;17,5;21,2
Município;1015;Pombal;0,5;0,6;16,1;6,9;1,0;6,7;6,0;0,9;-0,10;26,5;26,0
Município;1016;Porto de Mós;0,2;0,2;15,1;8,0;0,7;8,3;7,1;0,8;-0,05;31,7;39,9
Município;1101;Alenquer;0,4;0,4;14,7;12,8;0,7;8,3;6,5;0,8;-0,11;32,9;39,8
Município;1102;Arruda dos Vinhos;0,1;0,1;12,3;12,2;0,7;8,7;7,0;0,6;-0,04;40,9;54,7
Município;1103;Azambuja;0,2;0,2;17,4;13,3;0,9;8,9;8,1;1,3;0,07;58,9;40,4
Município;1104;Cadaval;0,1;0,2;14,5;8,7;1,1;11,3;8,5;0,7;-0,08;27,0;38,6
Município;1105;Cascais;2,1;1,9;10,1;14,6;1,2;6,5;7,4;0,8;0,00;31,4;40,8
Município;1106;Lisboa;5,3;5,4;14,9;14,8;1,4;7,1;10,2;2,1;-0,18;63,6;16,8
Município;1107;Loures;2,0;1,6;10,3;16,7;1,7;8,7;9,1;0,7;-0,03;45,8;53,1
Município;1108;Lourinhã;0,3;0,3;13,6;10,5;1,4;8,5;6,7;0,7;-0,09;22,0;35,3
Município;1109;Mafra;0,8;0,8;9,1;12,9;0,9;11,0;9,1;0,7;-0,06;26,6;44,2
Município;1110;Oeiras;1,7;1,5;9,6;13,5;0,9;8,5;9,5;1,1;0,01;61,6;51,1
Município;1111;Sintra;3,7;3,1;9,3;18,2;0,9;7,3;7,4;0,6;-0,04;25,5;48,3
Município;1112;Sobral de Monte Agraço;0,1;0,1;16,2;12,8;1,4;11,7;9,2;0,6;-0,08;38,2;56,6
Município;1113;Torres Vedras;0,8;0,8;10,9;12,7;1,2;6,9;5,2;0,8;-0,08;20,2;24,5
Município;1114;Vila Franca de Xira;1,3;1,1;8,5;14,2;0,7;8,6;8,9;0,6;-0,01;34,6;52,7
Município;1115;Amadora;1,7;1,5;9,3;19,7;1,7;9,0;10,4;0,7;-0,02;51,2;59,1
Município;1116;Odivelas;1,4;1,2;8,7;16,2;1,2;8,1;9,4;0,5;0,00;33,5;59,9
Município;1201;Alter do Chão;0,0;0,1;19,0;8,0;1,7;9,2;8,2;1,0;-0,05;29,1;25,5
Município;1202;Arronches;0,0;0,0;16,0;7,3;0,4;7,5;6,5;0,8;-0,03;23,1;31,6
Município;1203;Avis;0,0;0,1;20,9;8,1;0,3;9,3;7,7;1,1;0,06;32,5;20,9
Município;1204;Campo Maior;0,1;0,1;14,6;10,8;0,5;4,4;4,5;1,1;0,08;23,3;11,4
Município;1205;Castelo de Vide;0,0;0,1;15,7;6,1;0,2;9,8;7,0;0,9;-0,09;25,4;28,7
Município;1206;Crato;0,0;0,1;12,5;5,0;0,7;9,7;8,1;0,9;0,00;24,9;27,9
Município;1207;Elvas;0,2;0,2;20,3;11,8;2,7;5,3;5,2;0,9;-0,08;13,9;19,7
Município;1208;Fronteira;0,0;0,0;17,7;4,5;0,5;7,3;6,5;0,8;-0,08;22,8;30,6
Município;1209;Gavião;0,0;0,1;18,5;5,5;0,3;10,1;8,4;0,8;-0,08;25,9;30,5
Município;1210;Marvão;0,0;0,1;21,5;5,0;1,2;9,0;7,1;0,8;-0,06;24,3;29,9
Município;1211;Monforte;0,0;0,0;12,5;7,1;0,1;7,1;5,5;1,0;0,01;33,7;27,2
Município;1212;Nisa;0,1;0,1;16,1;4,8;0,4;6,9;6,8;0,8;-0,11;17,6;28,0
Município;1213;Ponte de Sor;0,2;0,2;14,2;8,5;0,3;6,2;5,4;0,9;-0,07;15,2;18,1
Município;1214;Portalegre;0,2;0,3;17,4;7,1;0,7;5,4;5,5;1,0;-0,07;20,0;15,8
Município;1215;Sousel;0,0;0,1;21,6;7,4;0,2;10,2;8,2;0,9;-0,05;23,9;26,4
Município;1301;Amarante;0,5;0,5;12,7;10,3;1,6;5,9;5,7;0,7;-0,14;21,1;30,0
Município;1302;Baião;0,2;0,2;18,8;11,4;2,7;6,5;6,7;0,6;-0,10;20,3;29,3
Município;1303;Felgueiras;0,5;0,4;11,0;12,9;1,0;5,4;5,6;1,1;-0,02;29,1;18,2
Município;1304;Gondomar;1,6;1,3;9,9;14,9;1,7;6,1;5,8;0,5;-0,04;25,7;55,3
Município;1305;Lousada;0,5;0,3;9,6;13,6;1,7;6,1;5,4;0,8;-0,08;30,9;38,0
Município;1306;Maia;1,3;1,0;8,2;12,8;1,3;7,9;7,9;1,0;0,00;57,3;51,0
Município;1307;Marco de Canaveses;0,5;0,4;12,0;13,4;1,3;5,6;5,3;0,7;-0,08;21,0;24,6
Município;1308;Matosinhos;1,7;1,4;8,5;14,2;1,0;6,3;6,8;0,9;0,01;49,2;45,7
Município;1309;Paços de Ferreira;0,5;0,4;8,8;15,7;1,3;5,4;5,1;1,0;-0,06;29,2;27,1
Município;1310;Paredes;0,8;0,6;9,2;15,8;2,2;8,2;7,8;0,8;-0,05;33,2;39,2
Município;1311;Penafiel;0,7;0,5;11,5;14,4;1,9;6,0;5,8;0,8;-0,07;33,1;32,3
Município;1312;Porto;2,2;2,2;15,2;15,7;2,5;6,8;8,6;1,9;-0,15;66,4;29,9
Município;1313;Póvoa de Varzim;0,6;0,6;7,3;13,2;1,3;6,9;6,7;0,8;-0,12;31,0;35,3
Município;1314;Santo Tirso;0,7;0,5;10,7;11,0;1,0;8,2;7,9;0,9;-0,07;36,6;40,8
Município;1315;Valongo;0,9;0,7;7,0;14,9;1,4;8,0;7,3;0,6;-0,02;40,7;57,5
Município;1316;Vila do Conde;0,8;0,7;7,1;13,0;1,0;7,3;6,8;0,9;-0,02;39,6;38,1
Município;1317;Vila Nova de Gaia;2,9;2,4;9,4;15,1;1,8;6,1;6,1;0,7;-0,04;28,1;39,8
Município;1318;Trofa;0,4;0,3;8,4;13,5;1,3;8,1;8,0;1,0;-0,06;48,9;45,5
Município;1401;Abrantes;0,3;0,4;20,7;6,6;1,0;6,0;6,0;0,9;-0,05;23,0;23,9
Município;1402;Alcanena;0,1;0,1;22,6;8,0;1,3;7,7;7,3;1,1;-0,02;44,4;30,6
Município;1403;Almeirim;0,2;0,2;18,2;11,6;1,0;6,4;5,8;0,7;-0,08;24,4;36,8
Município;1404;Alpiarça;0,1;0,1;17,5;8,1;0,5;8,7;6,7;0,7;0,00;37,6;48,2
Município;1405;Benavente;0,3;0,3;12,0;11,8;3,0;8,0;6,1;0,8;-0,09;31,3;35,3
Município;1406;Cartaxo;0,2;0,2;13,8;11,5;1,2;8,2;6,5;0,6;-0,07;26,5;48,6
Município;1407;Chamusca;0,1;0,1;25,3;7,9;1,8;8,6;8,2;0,9;0,04;32,4;34,1
Município;1408;Constância;0,0;0,0;17,2;8,0;0,3;11,1;10,9;1,5;-0,17;66,8;44,4
Município;1409;Coruche;0,2;0,2;24,3;8,6;1,0;7,8;7,0;0,8;-0,08;20,9;28,2
Município;1410;Entroncamento;0,2;0,2;15,1;8,2;1,0;8,0;7,1;0,7;-0,11;44,8;54,8
Município;1411;Ferreira do Zêzere;0,1;0,1;14,6;7,0;0,9;9,6;8,3;0,9;-0,04;28,6;27,5
Município;1412;Golegã;0,1;0,1;19,1;7,4;1,5;7,9;7,2;0,8;0,02;39,2;44,7
Município;1413;Mação;0,1;0,1;11,8;4,3;1,5;8,9;6,4;0,8;-0,15;22,9;24,5
Município;1414;Rio Maior;0,2;0,2;17,0;10,0;1,0;7,2;6,5;0,9;-0,07;26,1;27,0
Município;1415;Salvaterra de Magos;0,2;0,2;15,0;9,9;0,5;8,1;5,3;0,6;-0,07;20,8;40,1
Município;1416;Santarém;0,6;0,6;16,2;8,6;0,7;7,1;6,1;1,0;-0,08;32,4;26,2
Município;1417;Sardoal;0,0;0,1;15,2;7,9;0,7;8,9;7,9;0,7;-0,06;31,4;42,0
Município;1418;Tomar;0,4;0,4;17,1;7,6;1,1;6,5;6,1;0,9;-0,09;24,1;27,5
Município;1419;Torres Novas;0,3;0,4;17,4;7,4;1,0;6,9;6,2;0,9;-0,06;38,5;35,5
Município;1420;Vila Nova da Barquinha;0,1;0,1;16,5;6,0;1,5;9,5;6,9;0,7;-0,08;54,8;64,5
Município;1421;Ourém;0,4;0,5;16,5;8,5;0,9;7,0;5,8;0,9;-0,08;24,8;23,1
Município;1501;Alcácer do Sal;0,1;0,2;19,5;10,9;0,9;6,4;6,9;0,9;0,02;22,6;21,6
Município;1502;Alcochete;0,2;0,2;9,8;11,1;1,7;10,7;10,1;0,9;-0,01;56,7;55,6
Município;1503;Almada;1,7;1,7;8,6;14,4;1,7;8,2;8,5;0,7;-0,05;38,2;48,6
Município;1504;Barreiro;0,8;0,7;11,2;12,7;2,1;8,3;8,4;0,6;-0,05;40,6;57,1
