Índice;;;Figura 5 e 6;Figura 7 e 8
Nível territorial;Código territorial;Designação;Densidade populacional (N.º/ km²) ;Taxa de variação da população residente (%)
;;;2021;2011-2021
Freguesia;160943;União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;159,71;-8,83
Freguesia;160944;União das freguesias de Mazarefes e Vila Fria;242,61;-6,59
Freguesia;160945;União das freguesias de Nogueira, Meixedo e Vilar de Murteda;52,28;-10,27
Freguesia;160946;União das freguesias de Subportela, Deocriste e Portela Susã;131,58;-11,83
Freguesia;160947;União das freguesias de Torre e Vila Mou;171,97;-7,54
Freguesia;160948;União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;1.756,77;-0,86
Freguesia;160938;Vila de Punhe;342,29;-9,19
Freguesia;160935;Vila Franca;235,80;-4,04
Município;1610;Vila Nova de Cerveira;82,24;-3,59
Freguesia;161003;Cornes;79,38;2,30
Freguesia;161004;Covas;21,08;-10,67
Freguesia;161006;Gondarém;132,51;-10,00
Freguesia;161007;Loivo;161,94;-5,76
Freguesia;161009;Mentrestido;58,09;3,41
Freguesia;161012;Sapardos;49,11;-9,84
Freguesia;161013;Sopo;33,54;-10,77
Freguesia;161016;União das freguesias de Campos e Vila Meã;199,89;2,22
Freguesia;161017;União das freguesias de Candemil e Gondar;28,93;-12,81
Freguesia;161018;União das freguesias de Reboreda e Nogueira;127,17;6,63
Freguesia;161019;União das freguesias de Vila Nova de Cerveira e Lovelhe;257,97;-5,07
NUTS 3;112;Cávado;334,40;1,57
Município;0301;Amares;226,88;-1,56
Freguesia;030102;Barreiros;247,16;-2,76
Freguesia;030104;Bico;356,33;5,02
Freguesia;030119;Bouro (Santa Maria);95,23;-13,29
Freguesia;030120;Bouro (Santa Marta);44,95;-12,86
Freguesia;030105;Caires;186,02;1,15
Freguesia;030107;Carrazedo;266,79;-1,23
Freguesia;030108;Dornelas;150,44;0,39
Freguesia;030111;Fiscal;182,56;-0,84
Freguesia;030112;Goães;161,72;-12,03
Freguesia;030113;Lago;457,14;-4,50
Freguesia;030118;Rendufe;352,94;-3,91
Freguesia;030125;União das freguesias de Amares e Figueiredo;606,80;4,26
Freguesia;030126;União das freguesias de Caldelas, Sequeiros e Paranhos;98,94;-5,22
Freguesia;030127;União das freguesias de Ferreiros, Prozelo e Besteiros;644,14;3,39
Freguesia;030128;União das freguesias de Torre e Portela;156,82;-10,06
Freguesia;030129;União das freguesias de Vilela, Seramil e Paredes Secas;64,42;-14,11
Município;0302;Barcelos;308,13;-3,02
Freguesia;030201;Abade de Neiva;267,87;-0,74
Freguesia;030202;Aborim;133,82;-7,18
Freguesia;030203;Adães;280,67;-4,43
Freguesia;030205;Airó;292,38;-3,29
Freguesia;030206;Aldreu;165,63;-12,06
Freguesia;030208;Alvelos;594,67;-6,29
Freguesia;030209;Arcozelo;3.727,91;-0,12
Freguesia;030210;Areias;408,76;1,18
Freguesia;030212;Balugães;288,28;-6,42
Freguesia;030213;Barcelinhos;677,17;4,94
Freguesia;030215;Barqueiros;237,42;-2,10
Freguesia;030216;Cambeses;373,41;-4,92
Freguesia;030218;Carapeços;267,00;-4,79
Freguesia;030220;Carvalhal;477,91;-11,36
Freguesia;030221;Carvalhas;198,28;0,14
Freguesia;030224;Cossourado;117,70;-8,12
Freguesia;030228;Cristelo;214,92;-11,63
Freguesia;030234;Fornelos;187,18;0,00
Freguesia;030235;Fragoso;164,34;-5,65
Freguesia;030268;Galegos (Santa Maria);620,48;-4,65
Freguesia;030272;Galegos (São Martinho);590,38;-4,56
Freguesia;030237;Gilmonde;268,28;-1,25
Freguesia;030242;Lama;355,96;-8,42
Freguesia;030243;Lijó;548,64;5,16
Freguesia;030244;Macieira de Rates;242,93;-8,45
Freguesia;030245;Manhente;436,06;0,12
Freguesia;030247;Martim;385,53;-13,64
Freguesia;030252;Moure;362,60;-0,43
Freguesia;030254;Oliveira;180,59;-1,79
Freguesia;030255;Palme;125,75;-2,61
Freguesia;030256;Panque;100,32;-7,21
Freguesia;030257;Paradela;94,38;-7,18
Freguesia;030259;Pereira;322,34;-5,84
Freguesia;030260;Perelhal;250,00;-2,80
Freguesia;030261;Pousa;334,54;-2,38
Freguesia;030263;Remelhe;209,15;-2,22
Freguesia;030265;Rio Covo (Santa Eugénia);497,12;4,92
Freguesia;030264;Roriz;309,49;-6,09
Freguesia;030279;Silva;412,84;-1,42
Freguesia;030277;Tamel (São Veríssimo);875,38;-3,64
Freguesia;030282;Ucha;331,62;-0,28
Freguesia;030290;União das freguesias de Alheira e Igreja Nova;132,45;-7,49
Freguesia;030291;União das freguesias de Alvito (São Pedro e São Martinho) e Couto;169,32;0,56
Freguesia;030292;União das freguesias de Areias de Vilar e Encourados;171,09;-7,40
Freguesia;030293;União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);1.220,32;2,17
Freguesia;030294;União das freguesias de Campo e Tamel (São Pedro Fins);313,72;-0,79
Freguesia;030295;União das freguesias de Carreira e Fonte Coberta;382,23;-0,54
Freguesia;030296;União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;152,52;-4,44
Freguesia;030297;União das freguesias de Creixomil e Mariz;159,31;-7,95
Freguesia;030298;União das freguesias de Durrães e Tregosa;204,90;-2,13
Freguesia;030299;União das freguesias de Gamil e Midões;235,79;-0,65
Freguesia;0302FA;União das freguesias de Milhazes, Vilar de Figos e Faria;164,17;-3,53
Freguesia;0302FB;União das freguesias de Negreiros e Chavão;316,52;-6,81
Freguesia;0302FC;União das freguesias de Quintiães e Aguiar;146,74;-9,24
Freguesia;0302FD;União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);285,17;-5,64
Freguesia;0302FE;União das freguesias de Silveiros e Rio Covo (Santa Eulália);254,92;-2,46
Freguesia;0302FF;União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;114,74;-10,63
Freguesia;0302FG;União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;301,94;-1,84
Freguesia;0302FH;União das freguesias de Vila Cova e Feitos;155,69;-4,49
Freguesia;030283;Várzea;655,59;1,58
Freguesia;030287;Vila Seca;245,16;-11,11
Município;0303;Braga;1.053,94;6,52
Freguesia;030301;Adaúfe;331,82;-3,34
Freguesia;030349;Braga (São Vicente);5.480,00;5,58
Freguesia;030351;Braga (São Vítor);8.057,84;10,91
Freguesia;030312;Espinho;235,94;-10,50
Freguesia;030313;Esporões;361,39;0,23
Freguesia;030315;Figueiredo;566,50;-4,01
Freguesia;030319;Gualtar;2.467,52;27,90
Freguesia;030322;Lamas;681,60;1,19
Freguesia;030325;Mire de Tibães;537,61;-3,82
Freguesia;030330;Padim da Graça;417,70;-6,90
Freguesia;030331;Palmeira;641,89;4,24
Freguesia;030334;Pedralva;131,35;-4,50
Freguesia;030336;Priscos;344,11;-6,34
Freguesia;030338;Ruilhe;504,55;-2,80
Freguesia;030354;Sequeira;400,23;-3,87
Freguesia;030355;Sobreposta;211,87;-2,61
Freguesia;030356;Tadim;472,76;10,85
Freguesia;030357;Tebosa;417,37;-4,25
Freguesia;030363;União das freguesias de Arentim e Cunha;245,80;-8,10
Freguesia;030364;União das freguesias de Braga (Maximinos, Sé e Cividade);5.870,43;3,53
Freguesia;030365;União das freguesias de Braga (São José de São Lázaro e São João do Souto);6.086,83;3,43
Freguesia;030366;União das freguesias de Cabreiros e Passos (São Julião);434,66;-3,83
Freguesia;030367;União das freguesias de Celeirós, Aveleda e Vimieiro;890,62;1,06
Freguesia;030368;União das freguesias de Crespos e Pousada;167,71;-8,61
Freguesia;030369;União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);226,74;-2,20
Freguesia;030370;União das freguesias de Este (São Pedro e São Mamede);415,32;5,97
Freguesia;030371;União das freguesias de Ferreiros e Gondizalves;2.341,78;9,05
Freguesia;030372;União das freguesias de Guisande e Oliveira (São Pedro);227,60;1,80
Freguesia;030373;União das freguesias de Lomar e Arcos;1.811,72;6,76
Freguesia;030374;União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;980,97;-1,96
Freguesia;030375;União das freguesias de Merelim (São Pedro) e Frossos;1.220,63;3,19
Freguesia;030376;União das freguesias de Morreira e Trandeiras;300,44;-5,74
Freguesia;030377;União das freguesias de Nogueira, Fraião e Lamaçães;1.787,50;15,02
Freguesia;030378;União das freguesias de Nogueiró e Tenões;1.342,21;15,93
Freguesia;030379;União das freguesias de Real, Dume e Semelhe;1.615,35;16,94
Freguesia;030380;União das freguesias de Santa Lucrécia de Algeriz e Navarra;146,14;-8,55
Freguesia;030381;União das freguesias de Vilaça e Fradelos;554,29;-1,77
Município;0306;Esposende;368,22;2,56
Freguesia;030601;Antas;240,13;-1,94
Freguesia;030608;Forjães;318,80;-4,37
Freguesia;030610;Gemeses;199,82;3,25
Freguesia;030616;União das freguesias de Apúlia e Fão;481,71;7,48
Freguesia;030617;União das freguesias de Belinho e Mar;323,58;-9,47
Freguesia;030618;União das freguesias de Esposende, Marinhas e Gandra;708,38;10,36
Freguesia;030619;União das freguesias de Fonte Boa e Rio Tinto;177,07;-5,45
Freguesia;030620;União das freguesias de Palmeira de Faro e Curvos;280,53;-3,64
Freguesia;030615;Vila Chã;147,65;-11,56
Município;0310;Terras de Bouro;22,92;-12,34
Freguesia;031001;Balança;81,65;-9,97
Freguesia;031003;Campo do Gerês;2,17;-8,02
Freguesia;031004;Carvalheira;32,27;-24,35
Freguesia;031008;Covide;15,09;-20,41
Freguesia;031009;Gondoriz;40,00;0,34
Freguesia;031010;Moimenta;233,73;5,67
Freguesia;031012;Ribeira;94,22;-12,40
Freguesia;031013;Rio Caldo;55,20;-13,68
Freguesia;031014;Souto;114,39;-6,68
Freguesia;031018;União das freguesias de Chamoim e Vilar;27,76;-20,68
Freguesia;031019;União das freguesias de Chorense e Monte;26,55;-7,24
Freguesia;031020;União das freguesias de Cibões e Brufe;12,65;-27,79
Freguesia;031015;Valdosende;45,38;-12,70
Freguesia;031017;Vilar da Veiga;13,80;-16,49
Município;0313;Vila Verde;203,10;-3,02
Freguesia;031359;Aboim da Nóbrega e Gondomar;62,60;-14,74
Freguesia;031304;Atiães;135,40;5,19
Freguesia;031308;Cabanelas;292,73;-6,14
Freguesia;031309;Cervães;170,43;-6,31
Freguesia;031311;Coucieiro;124,64;-0,94
Freguesia;031313;Dossãos;126,57;-15,20
Freguesia;031316;Freiriz;180,82;-3,91
Freguesia;031317;Gême;325,63;-5,44
Freguesia;031323;Lage;653,96;5,49
Freguesia;031324;Lanhas;357,38;12,56
Freguesia;031325;Loureira;627,27;-4,17
Freguesia;031328;Moure;306,22;-3,03
Freguesia;031330;Oleiros;314,55;1,71
Freguesia;031331;Parada de Gatim;219,57;-10,84
Freguesia;031335;Pico;184,29;-15,41
Freguesia;031337;Ponte;132,55;-6,42
Freguesia;031350;Prado (São Miguel);118,51;-8,93
Freguesia;031340;Sabariz;216,43;1,13
Freguesia;031352;Soutelo;509,35;1,05
Freguesia;031354;Turiz;515,47;6,87
Freguesia;031360;União das freguesias da Ribeira do Neiva;99,53;-11,74
