Índice;;;Figura 11, 12, 13 e 14;Figura 17;Figura 18 ;Figura 20;Figura 28;Figura 29;Figura 30;Figura 31
Nível territorial;Código territorial;Designação;Habitantes por alojamento familiar clássico (N.º);Taxa de atração de população residente proveniente do estrangeiro (%);Taxa de atração de população residente proveniente de outro município (%);Taxa migratória interna (%);Proporção de população residente empregada que utiliza automóvel nos movimentos casa-trabalho (%);Duração média dos movimentos casa-trabalho da população empregada (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte automóvel (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte coletivo (min)
Município;0117;Sever do Vouga;1,56;1,1;7,5;0,2;87,2;16,3;5,9;35,7
Município;0118;Vagos;1,72;1,6;9,6;0,7;84,9;16,8;5,8;41,9
NUTS 3;16E;Região de Coimbra;1,54;1,2;6,9;0,1;81,3;18,1;7,9;37,1
Município;0601;Arganil;1,02;1,6;8,4;1,1;78,3;15,0;7,0;31,3
Município;0602;Cantanhede;1,63;1,4;7,5;0,1;83,6;17,8;6,3;42,6
Município;0603;Coimbra;1,72;1,2;5,3;-1,0;79,7;17,7;9,0;33,4
Município;0604;Condeixa-a-Nova;2,00;0,8;8,5;0,4;88,6;20,7;6,2;39,8
Município;0605;Figueira da Foz;1,34;1,6;6,5;0,6;80,1;17,3;8,2;39,3
Município;0606;Góis;0,76;1,2;7,9;1,1;72,1;17,1;8,2;39,4
Município;0607;Lousã;1,63;1,1;7,2;0,5;80,8;20,0;8,4;44,4
Município;0111;Mealhada;1,86;0,9;8,0;0,6;82,5;17,0;7,0;43,0
Município;0608;Mira;1,37;1,8;7,6;0,9;82,5;17,3;6,2;43,6
Município;0609;Miranda do Corvo;1,65;0,9;6,5;0,7;79,4;21,9;8,6;41,3
Município;0610;Montemor-o-Velho;1,85;0,7;8,3;1,0;83,7;22,6;6,9;46,3
Município;1808;Mortágua;1,44;1,9;8,2;0,4;81,5;15,1;6,8;37,1
Município;0611;Oliveira do Hospital;1,40;1,3;7,6;0,5;81,6;15,2;7,2;36,1
